dataset_name,algorithm_name,cross_validation,hyper_params,accuracy,TPR,FPR,precision,roc_auc,PR_curve,training_time,inference_time
abalon.csv,AugBoost,1,"{'learning_rate': 0.1827839486668538, 'max_depth': 4, 'n_estimators': 96, 'subsample': 0.7274275809805295}",0.622911695,0.613568281,0.386431719,0.582384471,0.823165385,0.684250849,2.842395306,0.004721712
abalon.csv,AugBoost,2,"{'learning_rate': 0.24415875288593664, 'max_depth': 4, 'n_estimators': 177, 'subsample': 0.8559684085310095}",0.665871122,0.660708141,0.339291859,0.645271848,0.850422852,0.729205288,4.207579374,0.004770648
abalon.csv,AugBoost,3,"{'learning_rate': 0.1914536559235138, 'max_depth': 3, 'n_estimators': 137, 'subsample': 0.6156751169017283}",0.62052506,0.619375781,0.380624219,0.625104908,0.794916232,0.668405237,3.126214266,0.004770079
abalon.csv,AugBoost,4,"{'learning_rate': 0.09926038196334168, 'max_depth': 2, 'n_estimators': 98, 'subsample': 0.7090625178320453}",0.631578947,0.629856896,0.370143104,0.634892952,0.830337154,0.698132165,3.074770212,0.007174802
abalon.csv,AugBoost,5,"{'learning_rate': 0.21119136088544782, 'max_depth': 4, 'n_estimators': 92, 'subsample': 0.6515705190619413}",0.59569378,0.593352453,0.406647547,0.61740775,0.80655311,0.675423514,4.295550108,0.00478035
abalon.csv,AugBoost,6,"{'learning_rate': 0.18053018466059456, 'max_depth': 2, 'n_estimators': 174, 'subsample': 0.8470541988303508}",0.657894737,0.652231782,0.347768218,0.644417178,0.824954934,0.705211224,6.09651947,0.00478035
abalon.csv,AugBoost,7,"{'learning_rate': 0.2641755216352376, 'max_depth': 5, 'n_estimators': 31, 'subsample': 0.75375268291708}",0.679425837,0.679771301,0.320228699,0.704291118,0.860188846,0.740524644,2.180733919,0.004782631
abalon.csv,AugBoost,8,"{'learning_rate': 0.29682509041696714, 'max_depth': 3, 'n_estimators': 114, 'subsample': 0.7695420194232718}",0.637019231,0.633339346,0.366660654,0.630341179,0.813229667,0.683239071,3.273968935,0.007255146
abalon.csv,AugBoost,9,"{'learning_rate': 0.08961684728183361, 'max_depth': 5, 'n_estimators': 24, 'subsample': 0.6375762043033767}",0.661057692,0.659012747,0.340987253,0.662964839,0.836535623,0.712609406,1.897079945,0.004803332
abalon.csv,AugBoost,10,"{'learning_rate': 0.10462850527725515, 'max_depth': 3, 'n_estimators': 150, 'subsample': 0.8280787081671519}",0.639423077,0.635786436,0.364213564,0.638925558,0.835459349,0.718860313,3.229136229,0.00720987
acute-inflammation.csv,AugBoost,1,"{'learning_rate': 0.2641755216352376, 'max_depth': 5, 'n_estimators': 31, 'subsample': 0.75375268291708}",1,1,0,1,1,1,0.081972837,0
acute-inflammation.csv,AugBoost,2,"{'learning_rate': 0.17464405117819742, 'max_depth': 3, 'n_estimators': 77, 'subsample': 0.9431782470491027}",1,1,0,1,1,1,0.116915464,0
acute-inflammation.csv,AugBoost,3,"{'learning_rate': 0.2641755216352376, 'max_depth': 5, 'n_estimators': 31, 'subsample': 0.75375268291708}",1,1,0,1,1,1,0.083931446,0
acute-inflammation.csv,AugBoost,4,"{'learning_rate': 0.17464405117819742, 'max_depth': 3, 'n_estimators': 77, 'subsample': 0.9431782470491027}",1,1,0,1,1,1,0.104919195,0
acute-inflammation.csv,AugBoost,5,"{'learning_rate': 0.17464405117819742, 'max_depth': 3, 'n_estimators': 77, 'subsample': 0.9431782470491027}",1,1,0,1,1,1,0.113936186,0
