dataset_name,algorithm_name,cross_validation,hyper_params,accuracy,TPR,FPR,precision,roc_auc,PR_curve,training_time,inference_time
abalon.csv,GradientBoosting,1,"{'learning_rate': 0.09926038196334168, 'max_depth': 2, 'n_estimators': 98, 'subsample': 0.7090625178320453}",0.619617225,0.609502212,0.190654312,0.574128391,0.825760728,0.685477365,1.067146778,0.00715712
abalon.csv,GradientBoosting,2,"{'learning_rate': 0.04561831568627322, 'max_depth': 4, 'n_estimators': 72, 'subsample': 0.765705197805868}",0.667464115,0.661373085,0.166360314,0.647160432,0.857548518,0.739575326,1.340342283,0.007157691
abalon.csv,GradientBoosting,3,"{'learning_rate': 0.06897470850401605, 'max_depth': 2, 'n_estimators': 105, 'subsample': 0.9283972919391741}",0.624401914,0.624630013,0.186779125,0.631297589,0.786885641,0.661181416,1.527880669,0.00715712
abalon.csv,GradientBoosting,4,"{'learning_rate': 0.13431057646791064, 'max_depth': 2, 'n_estimators': 196, 'subsample': 0.6635878334582078}",0.636363636,0.635552147,0.18046915,0.646733242,0.822743709,0.682135087,2.530234098,0.011929485
abalon.csv,GradientBoosting,5,"{'learning_rate': 0.06897470850401605, 'max_depth': 2, 'n_estimators': 105, 'subsample': 0.9283972919391741}",0.610047847,0.607989802,0.194426714,0.635395978,0.82245249,0.695456237,1.518898487,0.00715712
abalon.csv,GradientBoosting,6,"{'learning_rate': 0.09926038196334168, 'max_depth': 2, 'n_estimators': 98, 'subsample': 0.7090625178320453}",0.648325359,0.642965172,0.175848587,0.632295918,0.826706807,0.702766255,1.078119278,0.004771794
abalon.csv,GradientBoosting,7,"{'learning_rate': 0.04486057288371832, 'max_depth': 4, 'n_estimators': 131, 'subsample': 0.7586022963387938}",0.69138756,0.692031804,0.153044944,0.714045505,0.866388462,0.758061574,3.082758904,0.011928344
abalon.csv,GradientBoosting,8,"{'learning_rate': 0.021267815148442084, 'max_depth': 5, 'n_estimators': 161, 'subsample': 0.9116204078436143}",0.613908873,0.609302242,0.192362037,0.607863709,0.809945136,0.677918174,4.837069273,0.016740186
abalon.csv,GradientBoosting,9,"{'learning_rate': 0.09926038196334168, 'max_depth': 2, 'n_estimators': 98, 'subsample': 0.7090625178320453}",0.664268585,0.663048929,0.167034504,0.669082284,0.831788884,0.699184283,1.236655951,0.007175427
abalon.csv,GradientBoosting,10,"{'learning_rate': 0.13863061028372983, 'max_depth': 4, 'n_estimators': 21, 'subsample': 0.6369495557843593}",0.657074341,0.653194176,0.17090315,0.653490619,0.839975038,0.710094025,0.423864841,0.004783237
acute-inflammation.csv,GradientBoosting,1,"{'learning_rate': 0.2641755216352376, 'max_depth': 5, 'n_estimators': 31, 'subsample': 0.75375268291708}",1,1,0,1,1,1,0.019946814,0.083108743
acute-inflammation.csv,GradientBoosting,2,"{'learning_rate': 0.2641755216352376, 'max_depth': 5, 'n_estimators': 31, 'subsample': 0.75375268291708}",1,1,0,1,1,1,0.01895237,0.16617775
acute-inflammation.csv,GradientBoosting,3,"{'learning_rate': 0.17464405117819742, 'max_depth': 3, 'n_estimators': 77, 'subsample': 0.9431782470491027}",1,1,0,1,1,1,0.038893938,0.163634618
acute-inflammation.csv,GradientBoosting,4,"{'learning_rate': 0.17464405117819742, 'max_depth': 3, 'n_estimators': 77, 'subsample': 0.9431782470491027}",1,1,0,1,1,1,0.038895845,0.083128611
acute-inflammation.csv,GradientBoosting,5,"{'learning_rate': 0.17464405117819742, 'max_depth': 3, 'n_estimators': 77, 'subsample': 0.9431782470491027}",1,1,0,1,1,1,0.039865971,0.165998936
acute-inflammation.csv,GradientBoosting,6,"{'learning_rate': 0.19362871681672641, 'max_depth': 2, 'n_estimators': 27, 'subsample': 0.9774992314058497}",1,1,0,1,1,1,0.012959719,0.08302927
acute-inflammation.csv,GradientBoosting,7,"{'learning_rate': 0.19362871681672641, 'max_depth': 2, 'n_estimators': 27, 'subsample': 0.9774992314058497}",1,1,0,1,1,1,0.015957832,0.166118145
acute-inflammation.csv,GradientBoosting,8,"{'learning_rate': 0.17464405117819742, 'max_depth': 3, 'n_estimators': 77, 'subsample': 0.9431782470491027}",1,1,0,1,1,1,0.040890932,0.083128611
acute-inflammation.csv,GradientBoosting,9,"{'learning_rate': 0.17464405117819742, 'max_depth': 3, 'n_estimators': 77, 'subsample': 0.9431782470491027}",1,1,0,1,1,1,0.040890694,0.083148479
acute-inflammation.csv,GradientBoosting,10,"{'learning_rate': 0.17464405117819742, 'max_depth': 3, 'n_estimators': 77, 'subsample': 0.9431782470491027}",1,1,0,1,1,1,0.075794458,0.083148479
acute-nephritis.csv,GradientBoosting,1,"{'learning_rate': 0.1415804540386961, 'max_depth': 2, 'n_estimators': 16, 'subsample': 0.6408179242992113}",0.666666667,0.2,0,1,0.771428571,0.822222222,0.007978439,0.166237354
acute-nephritis.csv,GradientBoosting,2,"{'learning_rate': 0.13431057646791064, 'max_depth': 2, 'n_estimators': 196, 'subsample': 0.6635878334582078}",1,1,0,1,1,1,0.08876133,0.166257222
acute-nephritis.csv,GradientBoosting,3,"{'learning_rate': 0.3035855026698292, 'max_depth': 2, 'n_estimators': 187, 'subsample': 0.7845917449011728}",1,1,0,1,1,1,0.093782902,0.082850456
acute-nephritis.csv,GradientBoosting,4,"{'learning_rate': 0.2080520612478055, 'max_depth': 2, 'n_estimators': 162, 'subsample': 0.8472061715995366}",1,1,0,1,1,1,0.091757298,0.165422757
acute-nephritis.csv,GradientBoosting,5,"{'learning_rate': 0.17464405117819742, 'max_depth': 3, 'n_estimators': 77, 'subsample': 0.9431782470491027}",1,1,0,1,1,1,0.038899422,0.166038672
acute-nephritis.csv,GradientBoosting,6,"{'learning_rate': 0.17464405117819742, 'max_depth': 3, 'n_estimators': 77, 'subsample': 0.9431782470491027}",1,1,0,1,1,1,0.039889812,0.08302927
acute-nephritis.csv,GradientBoosting,7,"{'learning_rate': 0.24415875288593664, 'max_depth': 4, 'n_estimators': 177, 'subsample': 0.8559684085310095}",1,1,0,1,1,1,0.091754436,0.166257222
acute-nephritis.csv,GradientBoosting,8,"{'learning_rate': 0.21119136088544782, 'max_depth': 4, 'n_estimators': 92, 'subsample': 0.6515705190619413}",1,1,0,1,1,1,0.053855419,0.083148479
acute-nephritis.csv,GradientBoosting,9,"{'learning_rate': 0.17464405117819742, 'max_depth': 3, 'n_estimators': 77, 'subsample': 0.9431782470491027}",1,1,0,1,1,1,0.037928343,0.166257222
acute-nephritis.csv,GradientBoosting,10,"{'learning_rate': 0.3035855026698292, 'max_depth': 2, 'n_estimators': 187, 'subsample': 0.7845917449011728}",1,1,0,1,1,1,0.083775997,0.083088875
analcatdata_asbestos.csv,GradientBoosting,1,"{'learning_rate': 0.19191796423837731, 'max_depth': 3, 'n_estimators': 80, 'subsample': 0.7206299266698197}",1,1,0,1,1,1,0.075800896,0.221119987
analcatdata_asbestos.csv,GradientBoosting,2,"{'learning_rate': 0.1415804540386961, 'max_depth': 2, 'n_estimators': 16, 'subsample': 0.6408179242992113}",0.555555556,0.75,0.6,0.5,0.775,0.769345238,0.008976221,0.221596824
analcatdata_asbestos.csv,GradientBoosting,3,"{'learning_rate': 0.19362871681672641, 'max_depth': 2, 'n_estimators': 27, 'subsample': 0.9774992314058497}",1,1,0,1,1,1,0.014959812,0.221649806
analcatdata_asbestos.csv,GradientBoosting,4,"{'learning_rate': 0.043112542349291544, 'max_depth': 3, 'n_estimators': 58, 'subsample': 0.6552731805394455}",1,1,0,1,1,1,0.048863888,0.249415636
analcatdata_asbestos.csv,GradientBoosting,5,"{'learning_rate': 0.03913038273791838, 'max_depth': 4, 'n_estimators': 46, 'subsample': 0.6384393631575852}",0.75,0.75,0.25,0.75,0.625,0.688988095,0.031914711,0.37509203
analcatdata_asbestos.csv,GradientBoosting,6,"{'learning_rate': 0.2641755216352376, 'max_depth': 5, 'n_estimators': 31, 'subsample': 0.75375268291708}",0.75,0.75,0.25,0.75,0.75,0.752083333,0.02692771,0.249356031
analcatdata_asbestos.csv,GradientBoosting,7,"{'learning_rate': 0.13863061028372983, 'max_depth': 4, 'n_estimators': 21, 'subsample': 0.6369495557843593}",0.375,0,0.25,0,0.625,0.519345238,0.017950535,0.25343895
analcatdata_asbestos.csv,GradientBoosting,8,"{'learning_rate': 0.13431057646791064, 'max_depth': 2, 'n_estimators': 196, 'subsample': 0.6635878334582078}",0.875,0.666666667,0,1,0.933333333,0.902777778,0.08676815,0.249326229
analcatdata_asbestos.csv,GradientBoosting,9,"{'learning_rate': 0.016032263856248067, 'max_depth': 2, 'n_estimators': 87, 'subsample': 0.6018781904770188}",0.625,1,0.6,0.5,0.8,0.458333333,0.03989315,0.249356031
analcatdata_asbestos.csv,GradientBoosting,10,"{'learning_rate': 0.21119136088544782, 'max_depth': 4, 'n_estimators': 92, 'subsample': 0.6515705190619413}",0.625,0.666666667,0.4,0.5,0.666666667,0.776785714,0.079791069,0.249385834
analcatdata_boxing1.csv,GradientBoosting,1,"{'learning_rate': 0.043112542349291544, 'max_depth': 3, 'n_estimators': 58, 'subsample': 0.6552731805394455}",0.666666667,0.75,0.5,0.75,0.84375,0.924751984,0.041887283,0.249445438
analcatdata_boxing1.csv,GradientBoosting,2,"{'learning_rate': 0.1415804540386961, 'max_depth': 2, 'n_estimators': 16, 'subsample': 0.6408179242992113}",0.583333333,0.375,0,1,0.9375,0.968253968,0.008975983,0.083208084
